subject,relation,object,subject_uri,relation_uri,object_uri,object_type
the BSI Group,launch,the UK BIM Framework,http://example.org/entity/the_BSI_Group,http://example.org/relation/launch,http://example.org/entity/the_UK_BIM_Framework,entity
the Canada BIM Council,found,the Institute for BIM,http://example.org/entity/the_Canada_BIM_Council,http://example.org/relation/found,http://example.org/entity/the_Institute_for_BIM,entity
the Canada BIM Council,support,CANBIM,http://example.org/entity/the_Canada_BIM_Council,http://example.org/relation/support,http://example.org/entity/CANBIM,entity
the Civil and Environmental Engineering Department,found,Amirkabir University of Technology.[67,http://example.org/entity/the_Civil_and_Environmental_Engineering_Department,http://example.org/relation/found,http://example.org/entity/Amirkabir_University_of_Technology.%5B67,entity
the Clinton Foundation,establish,San Francisco,http://example.org/entity/the_Clinton_Foundation,http://example.org/relation/establish,http://example.org/entity/San_Francisco,entity
the Community Analysis Bureau,experience,Los Angeles,http://example.org/entity/the_Community_Analysis_Bureau,http://example.org/relation/experience,http://example.org/entity/Los_Angeles,entity
the Community Analysis Bureau,experience,the late 1960s[50,http://example.org/entity/the_Community_Analysis_Bureau,http://example.org/relation/experience,http://example.org/entity/the_late_1960s%5B50,entity
the Community Analysis Bureau,lateEstablishment,Singapore,http://example.org/entity/the_Community_Analysis_Bureau,http://example.org/relation/lateEstablishment,http://example.org/entity/Singapore,entity
the Computing Research Association,make,2021,http://example.org/entity/the_Computing_Research_Association,http://example.org/relation/make,,literal
the Construction Industry Development Board,aim,CIDB Malaysia,http://example.org/entity/the_Construction_Industry_Development_Board,http://example.org/relation/aim,http://example.org/entity/CIDB_Malaysia,entity
the Cyberport Zone,see,Hong Kong,http://example.org/entity/the_Cyberport_Zone,http://example.org/relation/see,http://example.org/entity/Hong_Kong,entity
the Institute for BIM,canadianChapter,buildingSMART International).[117,http://example.org/entity/the_Institute_for_BIM,http://example.org/relation/canadianChapter,http://example.org/entity/buildingSMART_International%29.%5B117,entity
the Institute for BIM,support,buildingSMART Canada,http://example.org/entity/the_Institute_for_BIM,http://example.org/relation/support,http://example.org/entity/buildingSMART_Canada,entity
the Key Centre of Design Computing and Cognition,know,the Design Lab,http://example.org/entity/the_Key_Centre_of_Design_Computing_and_Cognition,http://example.org/relation/know,http://example.org/entity/the_Design_Lab,entity
the Key Centre of Design Computing and Cognition,know,the University of Sydney,http://example.org/entity/the_Key_Centre_of_Design_Computing_and_Cognition,http://example.org/relation/know,http://example.org/entity/the_University_of_Sydney,entity
